Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,CHA,KCA,samaj001,venty001,1,10,28,5,1,0,1,1,0,0,1,2,0,3,0,0,3,0,3,3,10,10,1,0,24,7,0,0,2,0
2015-04-08,0,Wed,CHA,KCA,quinj001,duffd001,5,7,34,10,3,0,1,5,0,1,0,0,0,10,0,1,0,0,3,4,7,7,0,0,24,10,0,0,1,0
2015-04-09,0,Thu,CHA,KCA,dankj001,volqe001,1,4,30,4,2,0,0,1,0,0,1,1,0,7,0,0,0,0,4,4,4,4,1,0,24,10,1,0,0,0
2015-04-10,0,Fri,MIN,CHA,milot001,noesh001,6,0,28,3,2,0,0,0,0,0,0,2,0,7,0,1,0,0,3,4,5,5,2,1,27,9,1,0,0,0
2015-04-11,0,Sat,MIN,CHA,pelfm001,samaj001,4,5,33,10,2,0,2,5,0,0,1,1,0,5,0,0,1,0,6,3,4,4,0,0,27,11,2,0,0,0
2015-04-12,0,Sun,MIN,CHA,hughp001,salec001,2,6,37,12,1,0,2,6,0,0,0,0,0,7,1,0,0,0,7,5,2,2,0,0,27,8,0,0,1,0
2015-04-14,0,Tue,CHA,CLE,quinj001,carrc003,4,1,33,8,1,0,1,4,0,0,0,2,0,5,0,1,0,0,4,4,0,0,0,0,27,8,2,1,1,0
2015-04-15,0,Wed,CHA,CLE,dankj001,bauet001,2,4,33,6,1,0,0,2,0,0,1,5,0,14,0,0,0,0,10,4,4,4,0,0,24,7,0,0,1,0
2015-04-17,0,Fri,CHA,DET,samaj001,pricd001,1,2,30,4,0,0,1,1,0,0,0,2,0,9,0,0,1,0,4,2,2,2,0,0,25,10,1,0,1,0
2015-04-18,0,Sat,CHA,DET,salec001,sanca004,12,3,42,17,5,0,2,12,0,1,0,5,0,6,1,0,1,0,9,3,3,3,0,0,27,10,1,0,0,0
2015-04-19,0,Sun,CHA,DET,quinj001,grees005,1,9,29,6,1,1,0,1,0,0,0,4,0,5,1,0,3,0,5,3,9,9,0,0,24,7,0,0,0,0
2015-04-20,0,Mon,CLE,CHA,bauet001,dankj001,3,4,34,10,3,0,0,4,0,0,0,4,0,10,1,0,1,0,9,4,3,3,0,0,27,6,0,0,0,0
2015-04-21,0,Tue,CLE,CHA,carrc003,noesh001,6,2,35,8,1,0,1,2,0,0,0,0,0,15,0,0,1,0,6,3,6,6,0,0,27,9,0,0,0,0
2015-04-22,0,Wed,CLE,CHA,klubc001,samaj001,0,6,36,14,4,0,1,4,0,0,0,1,0,9,0,1,1,0,7,4,0,0,0,0,27,9,0,0,1,0
2015-04-23,0,Thu,KCA,CHA,venty001,salec001,3,2,46,7,2,0,0,2,0,0,1,4,1,14,0,1,0,0,10,6,3,3,0,0,39,22,0,0,4,0
2015-04-24,0,Fri,KCA,CHA,duffd001,quinj001,2,3,33,8,0,1,0,3,1,1,0,5,1,7,0,0,0,0,11,3,2,2,0,0,27,14,1,0,2,0
2015-04-26,0,Sun,KCA,CHA,volqe001,dankj001,3,5,31,6,0,0,0,5,0,0,0,2,0,7,0,0,0,0,4,4,3,3,0,0,27,11,1,0,0,0
2015-04-29,0,Wed,CHA,BAL,samaj001,jimeu001,2,8,30,4,0,0,0,1,0,0,0,1,0,9,0,0,2,0,2,3,7,7,0,0,24,9,1,0,1,0
2015-04-30,0,Thu,CHA,MIN,salec001,may-t001,2,12,38,12,2,0,0,2,0,0,0,1,0,7,0,0,0,0,10,4,11,11,0,0,24,10,2,1,0,0
2015-05-01,0,Fri,CHA,MIN,quinj001,gibsk002,0,1,33,6,1,0,0,0,0,0,1,1,0,5,0,0,2,0,8,3,1,1,1,0,24,11,0,0,2,0
2015-05-02,0,Sat,CHA,MIN,noesh001,nolar001,3,5,32,10,1,0,0,3,0,0,1,2,0,5,0,2,2,0,5,3,5,5,0,0,24,9,0,1,1,0
