Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,NYN,WAS,colob001,schem001,3,1,34,5,0,1,0,3,0,0,0,3,0,9,0,0,0,0,7,5,1,1,0,0,27,12,1,0,0,0
2015-04-08,0,Wed,NYN,WAS,degrj001,zimmj003,1,2,32,6,0,0,0,1,0,0,0,1,0,6,1,0,0,0,5,2,2,2,0,0,24,9,0,0,0,0
2015-04-09,0,Thu,NYN,WAS,harvm001,stras001,6,3,36,10,0,0,0,6,0,0,1,3,0,9,0,0,2,0,7,5,3,3,0,0,27,7,1,0,0,0
2015-04-10,0,Fri,NYN,ATL,niesj001,stule002,3,5,33,8,0,0,2,3,0,0,0,2,0,11,1,0,2,0,5,5,3,3,0,0,24,12,2,0,0,0
2015-04-11,0,Sat,NYN,ATL,gee-d001,tehej001,3,5,28,3,1,0,0,2,1,0,1,4,0,5,0,0,1,0,4,4,5,5,0,0,24,12,0,0,1,0
2015-04-12,0,Sun,NYN,ATL,colob001,wooda002,4,3,32,9,1,0,1,4,1,1,0,6,1,8,1,0,2,0,9,4,3,3,0,0,27,10,0,0,0,0
2015-04-13,0,Mon,PHI,NYN,haraa001,degrj001,0,2,30,6,1,1,0,2,0,1,0,4,1,3,1,0,0,0,9,4,0,0,0,0,27,9,0,0,2,0
2015-04-14,0,Tue,PHI,NYN,buchd001,harvm001,5,6,35,12,4,0,1,6,0,0,2,5,1,7,1,0,1,0,12,5,5,5,0,0,27,7,1,0,0,0
2015-04-15,0,Wed,PHI,NYN,willj003,niesj001,1,6,37,12,2,0,2,5,0,0,0,5,2,2,0,0,0,0,12,3,1,1,0,0,27,13,1,0,2,0
2015-04-16,0,Thu,MIA,NYN,cosaj001,gee-d001,5,7,30,9,2,0,1,7,1,1,0,3,0,6,1,0,1,0,4,5,4,4,0,0,27,12,1,0,1,0
2015-04-17,0,Fri,MIA,NYN,pheld001,colob001,1,4,29,7,2,0,0,4,0,2,0,3,0,5,1,0,0,0,6,3,1,1,0,0,27,12,0,0,1,0
2015-04-18,0,Sat,MIA,NYN,latom001,degrj001,4,5,33,10,2,0,2,5,0,0,0,1,0,5,1,0,1,0,5,5,4,4,1,0,27,8,0,0,1,0
2015-04-19,0,Sun,MIA,NYN,koeht001,harvm001,6,7,30,8,2,0,0,7,0,0,1,4,0,5,0,0,2,0,4,5,6,6,2,0,27,10,0,0,0,0
2015-04-21,0,Tue,ATL,NYN,cahit001,niesj001,1,7,33,9,1,0,0,7,0,1,0,6,0,1,0,0,1,0,9,5,1,1,0,0,27,10,1,0,1,0
2015-04-22,0,Wed,ATL,NYN,stule002,gee-d001,2,3,31,7,1,1,1,3,0,0,0,3,0,6,0,0,1,0,7,4,2,2,0,0,27,11,0,0,2,0
2015-04-23,0,Thu,ATL,NYN,tehej001,colob001,3,6,28,6,1,0,0,6,1,0,0,8,0,12,1,0,0,0,7,4,3,3,0,0,27,5,0,0,1,0
2015-04-24,0,Fri,NYN,NYA,degrj001,pinem001,1,6,31,5,3,0,0,1,0,1,0,0,0,8,0,0,1,0,4,4,6,6,0,0,24,3,1,0,0,0
2015-04-25,0,Sat,NYN,NYA,harvm001,sabac001,8,2,40,12,0,1,3,7,0,0,1,0,0,6,0,0,0,0,6,2,2,2,0,0,27,10,0,0,1,0
2015-04-26,0,Sun,NYN,NYA,niesj001,eovan001,4,6,33,7,3,0,1,4,0,0,2,1,0,10,0,0,1,0,5,3,4,4,0,0,24,10,4,0,2,0
2015-04-27,0,Mon,NYN,MIA,gee-d001,cosaj001,3,1,31,5,2,0,1,3,0,0,0,4,0,4,1,0,0,0,5,3,1,1,0,0,27,16,0,0,0,0
2015-04-28,0,Tue,NYN,MIA,montr004,pheld001,3,4,38,10,3,0,0,3,0,0,0,2,0,7,0,0,0,0,10,4,4,4,1,0,24,7,2,0,0,0
2015-04-29,0,Wed,NYN,MIA,colob001,latom001,3,7,32,7,1,0,1,3,0,0,0,4,0,6,0,0,2,0,6,5,7,7,0,0,24,11,1,0,1,0
2015-04-30,0,Thu,WAS,NYN,stras001,degrj001,8,2,34,7,2,0,0,2,0,0,0,1,0,11,0,0,0,0,6,5,6,6,0,0,27,9,1,0,1,0
2015-05-01,0,Fri,WAS,NYN,schem001,harvm001,0,4,30,8,2,0,1,4,1,0,1,2,0,12,0,0,0,0,6,3,0,0,0,0,27,13,1,0,2,0
2015-05-02,0,Sat,WAS,NYN,gonzg003,niesj001,1,0,31,6,1,0,0,0,0,0,0,2,0,10,0,0,0,0,6,2,1,1,0,0,27,16,0,0,0,0
2015-05-03,0,Sun,WAS,NYN,fistd001,gee-d001,1,0,32,5,1,0,0,0,0,0,0,2,0,6,0,0,0,0,7,5,1,1,0,0,27,10,0,0,0,0
2015-05-05,0,Tue,BAL,NYN,norrb001,colob001,2,3,29,7,3,0,0,3,0,0,0,1,0,5,0,1,1,0,3,3,2,2,0,0,27,7,0,0,0,0
2015-05-06,0,Wed,BAL,NYN,jimeu001,degrj001,1,5,30,7,0,0,2,5,0,1,0,3,0,7,0,0,0,0,5,4,1,1,1,0,27,12,0,0,1,0
2015-05-08,0,Fri,NYN,PHI,harvm001,hamec001,1,3,32,5,1,0,0,0,0,0,1,2,1,11,0,0,0,0,7,4,3,3,0,0,24,6,0,0,1,0
2015-05-09,0,Sat,NYN,PHI,niesj001,haraa001,3,2,35,9,1,0,1,2,1,0,0,3,0,4,0,0,1,0,9,5,0,0,0,0,27,8,1,0,1,0
2015-05-10,0,Sun,NYN,PHI,colob001,billc001,7,4,40,14,4,0,1,6,0,0,0,1,0,5,1,0,0,0,7,5,4,4,0,0,27,8,0,0,0,0
2015-05-11,0,Mon,NYN,CHN,degrj001,lestj001,3,4,31,6,0,0,2,3,0,0,0,5,0,7,1,0,1,0,6,5,4,4,0,0,24,9,1,0,0,0
2015-05-12,0,Tue,NYN,CHN,syndn001,arrij001,1,6,28,5,0,0,0,1,0,1,0,2,0,12,0,0,2,0,3,4,6,6,1,0,24,5,0,0,0,0
2015-05-13,0,Wed,NYN,CHN,harvm001,hammj002,1,2,30,6,1,0,0,1,1,0,2,1,0,7,1,0,2,0,6,3,2,2,1,0,25,12,0,0,2,0
2015-05-14,0,Thu,NYN,CHN,niesj001,woodt004,5,6,37,10,1,0,3,5,0,0,0,1,0,14,1,0,0,0,6,4,4,4,0,0,24,10,1,1,0,0
2015-05-15,0,Fri,MIL,NYN,lohsk001,colob001,7,0,30,3,1,0,0,0,1,0,0,1,0,9,0,0,0,0,5,4,6,6,0,0,27,17,1,0,1,0
2015-05-16,0,Sat,MIL,NYN,garzm001,degrj001,1,14,39,16,4,0,3,14,0,0,0,3,0,9,0,0,2,0,4,3,1,1,0,0,27,7,0,0,2,0
2015-05-17,0,Sun,MIL,NYN,peraw001,syndn001,1,5,33,9,3,0,1,5,0,0,0,4,1,7,1,0,1,0,8,5,1,1,0,0,27,7,0,0,0,0
2015-05-18,0,Mon,SLN,NYN,lackj001,harvm001,1,2,47,10,2,0,0,2,0,0,0,4,1,14,0,0,2,0,9,6,1,1,2,0,42,13,1,0,2,0
2015-05-19,0,Tue,SLN,NYN,wachm001,niesj001,10,2,32,5,1,0,1,2,0,0,1,2,0,6,0,0,0,0,6,4,10,10,0,0,27,9,0,0,2,0
2015-05-20,0,Wed,SLN,NYN,martc006,colob001,9,0,30,4,0,0,0,0,0,0,1,2,0,5,0,0,2,0,6,4,8,8,0,0,27,9,1,0,0,0
2015-05-21,0,Thu,SLN,NYN,garcj004,degrj001,0,5,27,9,0,0,2,5,1,0,0,7,0,5,0,1,3,0,6,2,0,0,0,0,27,9,0,0,0,0
2015-05-22,0,Fri,NYN,PIT,syndn001,coleg001,1,4,28,6,0,0,0,0,1,0,1,1,0,10,0,2,3,0,3,2,1,1,1,0,24,10,2,1,0,0
2015-05-23,0,Sat,NYN,PIT,harvm001,burna001,2,8,33,7,0,0,1,2,0,0,1,0,0,12,0,0,1,0,5,5,7,7,2,0,24,12,1,0,0,0
2015-05-24,0,Sun,NYN,PIT,niesj001,lirif001,1,9,34,7,1,0,0,1,0,0,0,2,0,14,0,0,0,0,8,3,9,9,0,0,24,8,0,0,0,0
2015-05-25,0,Mon,PHI,NYN,gonzs001,colob001,3,6,30,8,0,0,3,6,0,0,1,3,0,9,1,0,1,0,4,4,3,3,1,0,27,4,0,0,0,0
2015-05-26,0,Tue,PHI,NYN,willj003,degrj001,4,5,34,9,1,0,0,5,0,1,0,7,0,7,1,0,2,0,8,5,4,4,0,0,30,14,0,0,2,0
2015-05-27,0,Wed,PHI,NYN,osuls001,syndn001,0,7,34,12,1,0,4,7,0,1,1,2,0,4,0,0,2,0,7,3,0,0,0,0,27,11,0,0,2,0
2015-05-29,0,Fri,MIA,NYN,hared001,harvm001,4,3,32,6,2,0,2,3,0,0,0,1,0,7,0,0,1,0,3,2,4,4,0,0,27,8,0,0,0,0
2015-05-30,0,Sat,MIA,NYN,koeht001,niesj001,9,5,36,9,2,0,0,5,0,0,1,6,0,6,0,0,1,0,11,5,8,8,0,0,27,11,2,0,0,0
2015-05-31,0,Sun,MIA,NYN,pheld001,colob001,3,4,31,6,2,0,1,3,0,0,1,1,1,4,1,0,0,0,5,3,3,3,0,0,27,11,0,0,0,0
2015-06-01,0,Mon,NYN,SDN,degrj001,casha001,7,0,38,13,3,1,1,6,0,0,0,1,0,16,1,1,1,0,5,2,0,0,0,0,27,5,0,0,1,0
2015-06-02,0,Tue,NYN,SDN,syndn001,kenni001,2,7,34,8,1,0,0,2,0,0,0,2,0,12,0,1,0,0,7,5,7,7,0,0,24,5,0,0,0,0
2015-06-03,0,Wed,NYN,SDN,gee-d001,shiej002,3,7,34,9,3,0,0,3,0,0,2,3,0,6,0,0,2,0,9,4,4,4,0,0,24,8,3,0,1,0
2015-06-04,0,Thu,NYN,ARI,harvm001,ray-r002,6,2,41,14,5,0,1,6,0,1,0,1,0,9,0,0,0,0,10,4,2,2,3,0,27,8,0,0,1,0
2015-06-05,0,Fri,NYN,ARI,niesj001,hellj001,2,7,32,6,1,0,1,2,0,0,0,3,0,10,0,0,1,0,6,4,7,7,1,0,24,8,1,0,1,0
2015-06-06,0,Sat,NYN,ARI,colob001,andec001,1,2,33,10,0,0,1,1,0,0,0,2,0,8,0,0,4,1,8,4,2,2,0,0,24,10,1,0,1,0
2015-06-07,0,Sun,NYN,ARI,degrj001,collj001,6,3,36,11,2,0,4,6,0,0,0,4,2,3,4,0,2,0,7,3,2,2,0,0,27,9,1,0,1,0
2015-06-09,0,Tue,SFN,NYN,hestc001,syndn001,5,0,26,0,0,0,0,0,0,0,3,0,0,11,0,0,1,0,2,3,5,5,0,0,27,11,0,0,3,0
2015-06-10,0,Wed,SFN,NYN,hudst001,harvm001,8,5,35,11,3,1,0,5,0,0,1,2,0,10,0,0,2,0,6,6,8,8,0,0,27,16,2,0,1,0
2015-06-11,0,Thu,SFN,NYN,linct001,niesj001,4,5,34,9,4,0,0,5,0,1,1,4,1,7,0,0,1,0,9,3,2,2,0,0,27,19,1,0,2,0
2015-06-12,0,Fri,ATL,NYN,wooda002,colob001,3,5,29,7,2,0,2,5,0,0,1,4,1,7,1,0,2,0,5,4,3,3,0,0,27,14,0,0,3,0
2015-06-13,0,Sat,ATL,NYN,mills001,degrj001,5,3,43,11,4,0,0,2,0,0,0,2,0,8,0,0,0,0,9,6,5,5,1,0,33,13,3,0,2,0
2015-06-14,0,Sun,ATL,NYN,foltm001,gee-d001,8,10,36,14,2,0,4,9,0,0,0,4,0,9,1,0,0,0,6,6,8,8,0,0,27,10,0,0,1,0
2015-06-15,0,Mon,TOR,NYN,buehm001,syndn001,3,4,38,6,3,0,0,4,1,0,0,2,0,8,0,0,0,0,5,5,3,3,0,0,33,10,0,0,0,0
2015-06-16,0,Tue,TOR,NYN,copes001,harvm001,2,3,31,9,2,0,0,3,0,1,0,0,0,4,1,0,1,0,5,3,2,2,0,0,27,11,0,0,0,0
2015-06-17,0,Wed,NYN,TOR,niesj001,hutcd001,0,8,32,6,3,0,0,0,0,0,0,1,0,8,1,0,1,0,6,3,8,8,0,0,24,13,0,0,2,0
2015-06-18,0,Thu,NYN,TOR,colob001,dickr001,1,7,30,3,1,0,1,1,0,0,0,5,0,9,0,0,0,0,7,3,6,6,0,0,24,8,1,0,0,0
2015-06-19,0,Fri,NYN,ATL,degrj001,wislm001,1,2,31,6,1,0,0,1,2,0,1,0,0,4,0,0,1,0,6,4,2,2,1,0,24,10,1,0,0,0
2015-06-20,0,Sat,NYN,ATL,syndn001,perew001,4,6,33,8,0,0,2,4,0,0,2,2,0,8,0,0,2,0,6,5,5,5,0,0,24,6,2,0,1,0
2015-06-21,0,Sun,NYN,ATL,harvm001,tehej001,0,1,29,4,1,0,0,0,0,0,0,2,0,6,0,0,2,0,4,3,1,1,0,0,24,8,0,0,0,0
2015-06-23,0,Tue,NYN,MIL,niesj001,fierm001,2,3,30,4,0,0,1,2,0,1,1,2,0,12,1,0,0,0,5,4,3,3,1,0,24,11,1,0,1,0
2015-06-24,0,Wed,NYN,MIL,colob001,nelsj004,1,4,29,3,1,0,1,1,0,0,0,1,0,6,0,0,1,0,2,2,4,4,0,0,24,7,0,0,1,0
2015-06-25,0,Thu,NYN,MIL,degrj001,jungt001,2,0,34,10,1,0,0,2,0,0,1,2,0,10,0,2,0,0,8,2,0,0,0,0,27,10,0,0,1,0
2015-06-26,0,Fri,CIN,NYN,cuetj001,syndn001,1,2,27,2,0,1,1,2,0,0,1,3,0,8,1,0,0,0,5,2,1,1,0,0,27,11,0,0,0,0
2015-06-27,0,Sat,CIN,NYN,lorem002,harvm001,1,2,49,11,3,0,1,2,0,0,0,8,1,8,0,0,0,0,19,7,0,0,0,0,39,16,1,0,1,0
2015-06-28,0,Sun,CIN,NYN,smitj004,matzs001,2,7,32,8,2,0,0,6,0,0,1,5,2,3,1,0,0,0,7,3,2,2,0,0,27,9,0,0,2,0
2015-06-30,0,Tue,CHN,NYN,hendk001,niesj001,1,0,30,3,1,0,0,0,0,0,0,1,0,9,0,0,0,0,4,3,1,1,0,0,27,10,0,0,1,0
2015-07-01,0,Wed,CHN,NYN,lestj001,colob001,2,0,40,7,3,0,0,0,0,0,1,2,0,13,1,1,0,0,10,6,2,2,0,0,33,15,0,0,2,0
2015-07-02,0,Thu,CHN,NYN,arrij001,degrj001,6,1,30,5,3,0,0,1,0,0,1,0,0,8,0,0,0,0,3,3,5,5,0,0,27,8,1,0,0,0
2015-07-03,0,Fri,NYN,LAN,syndn001,kersc001,2,1,33,6,2,0,0,2,0,1,0,2,0,10,0,0,0,0,7,3,1,1,0,0,27,7,1,0,0,0
2015-07-04,0,Sat,NYN,LAN,harvm001,greiz001,3,4,35,9,2,0,0,3,0,1,1,0,0,6,1,1,0,0,7,4,4,4,0,0,24,11,0,0,1,0
2015-07-05,0,Sun,NYN,LAN,matzs001,bolsm001,8,0,42,15,3,1,0,8,0,0,1,4,1,9,0,0,0,0,12,2,0,0,0,0,27,7,0,0,0,0
2015-07-06,0,Mon,NYN,SFN,niesj001,hestc001,3,0,33,7,2,0,0,3,0,0,1,4,0,4,0,0,1,0,8,2,0,0,0,0,27,13,0,0,0,0
2015-07-07,0,Tue,NYN,SFN,colob001,cainm001,0,3,29,4,3,1,0,0,0,0,0,4,0,9,0,0,1,0,6,3,2,2,0,0,24,7,2,0,2,0
2015-07-08,0,Wed,NYN,SFN,degrj001,peavj001,4,1,35,8,0,0,1,3,0,0,1,1,0,5,0,0,0,0,6,3,1,1,1,0,27,7,1,0,0,0
2015-07-10,0,Fri,ARI,NYN,andec001,syndn001,2,4,32,10,0,0,2,4,0,0,0,4,0,7,1,0,1,0,8,2,2,2,0,0,27,6,0,0,0,0
2015-07-11,0,Sat,ARI,NYN,corbp001,harvm001,2,4,28,4,0,0,3,4,0,0,0,2,0,9,0,0,0,0,2,3,2,2,0,0,27,13,0,0,2,0
2015-07-12,0,Sun,ARI,NYN,delar003,niesj001,3,5,35,11,2,0,4,5,0,0,0,4,1,7,0,0,0,0,10,4,3,3,0,0,27,8,0,0,0,0
2015-07-17,0,Fri,NYN,SLN,syndn001,lynnl001,2,3,34,7,0,0,1,2,0,0,0,1,0,12,0,0,0,0,6,4,3,3,0,0,24,7,1,0,0,0
2015-07-18,0,Sat,NYN,SLN,colob001,lackj001,2,12,37,12,1,0,1,2,0,0,0,3,0,4,0,0,2,0,11,4,8,8,1,0,24,7,2,0,0,0
2015-07-19,0,Sun,NYN,SLN,niesj001,coont001,3,1,64,16,4,0,0,3,4,1,0,13,3,15,2,1,1,0,25,7,1,1,1,0,54,22,0,0,3,0
2015-07-20,0,Mon,NYN,WAS,harvm001,gonzg003,2,7,36,9,2,0,0,2,0,0,0,3,1,6,1,0,0,0,10,2,4,4,0,0,24,11,3,0,0,0
2015-07-21,0,Tue,NYN,WAS,degrj001,rossj002,7,2,38,10,1,0,0,7,0,0,1,3,1,7,1,0,0,0,8,4,2,2,0,0,27,9,0,0,0,0
2015-07-22,0,Wed,NYN,WAS,syndn001,zimmj003,3,4,33,7,1,0,0,3,1,0,0,0,0,9,0,0,0,0,4,4,4,4,1,0,24,11,0,0,1,0
2015-07-23,0,Thu,LAN,NYN,kersc001,colob001,3,0,29,3,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,3,3,3,0,0,27,11,0,0,3,0
2015-07-24,0,Fri,LAN,NYN,thomi001,niesj001,7,2,31,6,1,0,0,2,0,0,0,1,0,7,1,0,2,0,3,4,7,7,0,0,27,13,0,0,1,0
2015-07-25,0,Sat,LAN,NYN,lee-z001,harvm001,2,15,44,21,5,0,4,14,0,0,1,5,1,8,0,0,1,0,11,3,2,2,0,0,27,10,0,0,0,0
2015-07-26,0,Sun,LAN,NYN,greiz001,degrj001,2,3,32,6,1,0,0,3,1,0,2,5,2,7,1,0,1,0,9,3,2,2,0,0,30,10,0,0,0,0
2015-07-28,0,Tue,SDN,NYN,shiej002,syndn001,0,4,31,8,2,0,2,4,0,0,0,0,0,4,0,0,2,0,3,2,0,0,0,0,27,10,1,0,1,0
2015-07-29,0,Wed,SDN,NYN,rosst001,colob001,7,3,29,5,0,0,3,3,0,0,1,4,0,11,0,1,1,0,4,5,7,7,0,0,27,9,0,0,1,0
2015-07-30,0,Thu,SDN,NYN,casha001,niesj001,8,7,33,7,2,0,2,7,1,2,0,3,1,7,0,0,0,0,5,5,8,8,0,0,27,8,0,0,1,0
2015-07-31,0,Fri,WAS,NYN,gonzg003,harvm001,1,2,38,6,1,0,1,2,0,0,0,4,0,13,0,1,0,0,7,5,1,1,0,0,36,9,0,0,0,0
2015-08-01,0,Sat,WAS,NYN,rossj002,degrj001,2,3,29,6,3,0,2,3,1,0,0,3,2,7,0,0,0,0,6,4,2,2,0,0,27,8,0,0,0,0
2015-08-02,0,Sun,WAS,NYN,zimmj003,syndn001,2,5,31,8,1,0,3,5,1,0,0,2,0,9,0,0,0,0,5,2,2,2,0,0,27,9,0,0,1,0
2015-08-03,0,Mon,NYN,MIA,colob001,koeht001,12,1,42,15,6,0,1,11,0,0,1,6,0,11,0,0,1,0,10,2,1,1,0,0,27,12,0,0,0,0
2015-08-04,0,Tue,NYN,MIA,niesj001,handb001,5,1,39,12,2,1,0,5,0,0,0,2,0,8,0,0,0,0,9,3,1,1,1,0,27,12,1,0,2,0
