Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,BOS,PHI,buchc001,hamec001,8,0,31,3,1,0,0,0,0,0,0,2,0,9,0,0,0,0,6,6,8,8,0,1,27,10,0,0,1,0
2015-04-08,0,Wed,BOS,PHI,porcr001,haraa001,2,4,31,6,0,0,1,4,0,1,0,2,0,7,1,0,0,0,6,4,0,0,0,0,27,3,2,0,1,0
2015-04-09,0,Thu,BOS,PHI,mastj001,buchd001,6,2,32,5,0,0,0,1,0,0,0,3,0,10,0,0,0,0,6,5,6,6,0,0,27,10,3,1,1,0
2015-04-10,0,Fri,WAS,PHI,gonzg003,willj003,1,4,27,7,2,0,0,4,0,1,2,4,0,5,0,1,1,0,6,4,1,1,0,0,27,11,0,0,0,0
2015-04-11,0,Sat,WAS,PHI,fistd001,hamec001,2,3,41,13,5,0,0,3,0,0,0,2,1,5,0,0,0,0,12,5,2,2,1,0,30,16,0,0,0,0
2015-04-12,0,Sun,WAS,PHI,schem001,osuls001,4,3,39,9,0,0,1,3,0,0,0,4,0,12,2,0,0,0,10,5,4,4,2,0,30,13,0,0,0,0
2015-04-13,0,Mon,PHI,NYN,haraa001,degrj001,0,2,31,7,0,0,0,0,1,0,0,2,0,5,0,0,2,0,7,2,1,1,0,0,24,3,2,0,0,0
2015-04-14,0,Tue,PHI,NYN,buchd001,harvm001,5,6,33,7,1,0,4,5,1,0,2,1,0,12,1,0,0,1,6,4,6,6,0,0,24,7,0,0,1,0
2015-04-15,0,Wed,PHI,NYN,willj003,niesj001,1,6,35,9,3,1,0,1,0,0,0,4,0,5,0,0,2,0,11,3,5,5,1,0,24,9,1,0,0,0
2015-04-16,0,Thu,PHI,WAS,hamec001,fistd001,2,5,31,5,1,1,0,2,0,1,0,4,1,6,0,0,1,0,7,3,5,5,0,1,24,10,0,0,1,0
2015-04-17,0,Fri,PHI,WAS,osuls001,schem001,2,7,35,7,0,1,0,2,0,0,0,0,0,11,0,0,0,0,6,4,6,6,0,0,24,9,2,0,0,0
2015-04-18,0,Sat,PHI,WAS,haraa001,zimmj003,5,3,34,7,3,0,0,5,0,0,0,4,0,4,3,0,0,0,6,4,3,3,1,0,27,11,0,0,1,0
2015-04-19,0,Sun,PHI,WAS,buchd001,stras001,1,4,34,7,2,0,0,1,0,0,0,2,0,8,0,0,0,0,8,4,4,4,2,0,24,10,1,0,0,0
2015-04-21,0,Tue,MIA,PHI,hared001,willj003,3,7,30,7,1,1,2,7,0,1,0,3,0,8,1,0,0,0,3,4,2,2,0,0,27,8,1,0,1,0
2015-04-22,0,Wed,MIA,PHI,cosaj001,hamec001,6,1,30,5,0,1,1,1,0,0,0,0,0,7,0,0,2,0,2,5,1,1,0,1,27,15,3,0,1,0
2015-04-23,0,Thu,MIA,PHI,pheld001,mcgod001,9,1,32,8,2,0,0,1,0,1,0,2,0,7,0,0,1,0,7,5,8,8,0,0,27,9,2,0,1,0
2015-04-24,0,Fri,ATL,PHI,wooda002,haraa001,0,1,32,8,0,0,0,1,3,0,0,2,0,2,0,1,0,0,11,2,0,0,0,0,27,8,0,0,3,0
2015-04-25,0,Sat,ATL,PHI,mills001,buchd001,5,2,32,6,1,0,1,2,0,0,0,2,0,4,1,0,0,0,5,4,5,5,0,0,27,9,0,0,1,0
2015-04-26,0,Sun,ATL,PHI,cahit001,willj003,4,5,27,6,0,1,1,4,3,0,0,4,1,3,1,1,0,0,5,4,4,4,0,0,27,10,0,0,1,0
2015-04-27,0,Mon,PHI,SLN,hamec001,lackj001,4,1,34,11,2,0,0,4,2,0,0,1,0,2,0,0,0,0,6,3,1,1,0,0,27,9,0,0,0,0
2015-04-28,0,Tue,PHI,SLN,gonzs001,wachm001,5,11,34,9,2,0,0,5,2,0,1,2,0,7,0,0,0,0,7,5,9,9,0,0,24,13,2,0,1,0
2015-04-29,0,Wed,PHI,SLN,haraa001,martc006,2,5,34,8,0,0,1,2,0,0,0,4,1,6,0,0,0,0,9,3,5,5,0,0,24,9,0,0,0,0
2015-04-30,0,Thu,PHI,SLN,buchd001,coont001,3,9,33,8,1,1,1,3,0,1,0,2,0,7,0,1,0,0,6,4,9,9,0,0,24,13,0,0,2,0
2015-05-01,0,Fri,PHI,MIA,willj003,koeht001,3,4,31,5,0,1,1,3,0,0,0,3,0,8,0,0,0,0,4,4,4,4,0,0,24,12,1,0,2,0
